"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
114,"Saline","KI","F",3,4,16.4
115,"Saline","KI","F",3,1,60
115,"Saline","KI","F",3,2,60
115,"Saline","KI","F",3,3,60
115,"Saline","KI","F",3,4,54
116,"Saline","KI","F",3,1,60
116,"Saline","KI","F",3,2,60
116,"Saline","KI","F",3,3,52.3
116,"Saline","KI","F",3,4,55.5
117,"Saline","KI","F",3,1,60
117,"Saline","KI","F",3,2,54.6
117,"Saline","KI","F",3,3,1.6
117,"Saline","KI","F",3,4,59.2
118,"Saline","KI","F",3,1,41.1
118,"Saline","KI","F",3,2,17
118,"Saline","KI","F",3,3,9.4
118,"Saline","KI","F",3,4,9.5
108,"SKF","KI","F",1,1,9.6
108,"SKF","KI","F",1,2,60
108,"SKF","KI","F",1,3,60
108,"SKF","KI","F",1,4,60
109,"SKF","KI","F",1,1,1.7
109,"SKF","KI","F",1,2,2.5
109,"SKF","KI","F",1,3,45.9
109,"SKF","KI","F",1,4,5.5
110,"SKF","KI","F",1,1,28.6
110,"SKF","KI","F",1,2,36.4
110,"SKF","KI","F",1,3,60
110,"SKF","KI","F",1,4,6
111,"SKF","KI","F",1,1,2.4
111,"SKF","KI","F",1,2,2
111,"SKF","KI","F",1,3,2.7
111,"SKF","KI","F",1,4,12.3
112,"SKF","KI","F",1,1,15.1
112,"SKF","KI","F",1,2,2.7
112,"SKF","KI","F",1,3,19.4
112,"SKF","KI","F",1,4,3.3
113,"SKF","KI","F",1,1,15.7
113,"SKF","KI","F",1,2,3.9
113,"SKF","KI","F",1,3,15.6
113,"SKF","KI","F",1,4,53.7
114,"SKF","KI","F",1,1,20.5
114,"SKF","KI","F",1,2,15.2
114,"SKF","KI","F",1,3,17.5
114,"SKF","KI","F",1,4,5.4
115,"SKF","KI","F",1,1,12.6
